Msks	enh_0	enh_1	enh_2	enh_3	enh_4	enh_5	enh_6	enh_7	enh_8	enh_9	enh_10	enh_11	enh_12	enh_13	enh_14	enh_15
msk_130	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
msk_131	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1
msk_132	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0
msk_133	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0
msk_134	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0
msk_135	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
msk_136	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0
msk_137	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
msk_138	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0
msk_139	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
msk_140	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0
msk_141	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0
msk_142	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0
msk_143	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1
msk_144	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0
msk_145	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0
msk_146	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
msk_147	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
msk_148	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0
msk_149	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
msk_150	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0
msk_151	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1
msk_152	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
msk_153	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0
msk_154	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0
msk_155	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1
msk_156	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0
msk_157	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0
msk_158	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0
msk_159	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1
msk_160	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
msk_161	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0
msk_162	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
msk_163	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1
msk_164	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0
msk_165	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
msk_166	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0
msk_167	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1
msk_168	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0
msk_169	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
msk_170	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
msk_171	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
msk_172	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0
msk_173	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0
msk_174	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0
msk_175	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1
msk_176	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0
msk_177	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0
msk_178	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0
msk_179	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1
msk_180	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0
msk_181	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
msk_182	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
msk_183	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1
msk_184	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
msk_185	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0
msk_186	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0
msk_187	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1
msk_188	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0
msk_189	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0
msk_190	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0
msk_191	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1
msk_192	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
msk_193	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0
msk_194	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0
msk_195	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
msk_196	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0
msk_197	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
msk_198	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0
msk_199	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1
msk_200	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0
msk_201	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0
msk_202	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0
msk_203	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
msk_204	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0
msk_205	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
msk_206	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0
msk_207	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
msk_208	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
msk_209	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0
msk_210	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0
msk_211	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1
msk_212	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0
